RiderName_Zweeler,ValgtAf,ValgtAfPct
"Lambrecht, Michiel",2,0
"Le Berre, Mathis",2,0
"Livyns, Arjen",2,0
"Lopez, Harold Martin",2,0
"Manzin, Lorrenzo",2,0
"Moschetti, Matteo",2,0
"Nicolau, Joel",2,0
"Norsgaard, Mathias",2,0
"O'Brien, Kelland",2,0
"Page, Hugo",2,0
"Pasqualon, Andrea",2,0
"Petegem, Axandre Van",2,0
"Rondel, Mathys",2,0
"Russo, Clément",2,0
"Samitier, Sergio",2,0
"Schelling, Ide",2,0
"Schultz, Nick",2,0
"Skerl, Daniel",2,0
"Soupe, Geoffrey",2,0
"Tizza, Marco",2,0
"Vangheluwe, Warre",2,0
"Vergallito, Luca",2,0
"Verre, Alessandro",2,0
"Vervaeke, Louis",2,0
"Walker, Max",2,0
"Wallin, Rasmus Bøgh",2,0
"Wenzel, Mats",2,0
"Wilksch, Hannes",2,0
"Zoccarato, Samuele",2,0
"Zwiehoff, Ben",2,0
"Agirre, Jon",1,0
"Alleno, Clément",1,0
"Alustiza, Nicolás",1,0
"Angulo, Antonio",1,0
"Aparicio, Mario",1,0
"Armitt, Hamish",1,0
"Arriolabengoa, Julen",1,0
"Azparren, Enekoitz",1,0
"Baldaccini, Davide",1,0
"Barceló, Fernando",1,0
"Barré, Louis",1,0
"Bastiaens, Ayco",1,0
"Bayer, Tobias",1,0
"Berthet, Clément",1,0
"Beullens, Cedric",1,0
"Blikra, Erlend",1,0
"Bloem, Joren",1,0
"Blume Levy, William",1,0
"Bomboi, Davide",1,0
"Bossche, Fabio Van den",1,0
"Bou, Joan",1,0
"Bouchard, Geoffrey",1,0
"Boven, Lars",1,0
"Braet, Vito",1,0
"Brambilla, Gianluca",1,0
"Burgaudeau, Mathieu",1,0
"Calzoni, Walter",1,0
"Cerný, Josef",1,0
"Christophersen, Cedrik",1,0
"Colleoni, Kevin",1,0
"Conforti, Lorenzo",1,0
"Crescioli, Ludovico",1,0
"De Cassan, Davide",1,0
"De Marchi, Alessandro",1,0
"Denz, Nico",1,0
"Dillier, Silvan",1,0
"Dina, Márton",1,0
"Doull, Owain",1,0
"Dujardin, Sandy",1,0
"Eriksson, Lucas",1,0
"Fortin, Filippo",1,0
"Fuglsang, Jakob",1,0
"Gaze, Samuel",1,0
"Gendt, Aimé De",1,0
"Gerits, Vince",1,0
"González, David",1,0
"Gradek, Kamil",1,0
"Gregaard, Jonas",1,0
"Grellier, Fabien",1,0
"Grignard, Sébastien",1,0
"Grossschartner, Felix",1,0
"Guernalec, Thibault",1,0
"Haller, Marco",1,0
"Hamilton, Chris",1,0
"Hatherly, Alan",1,0
"Hellemose, Asbjørn",1,0
"Hoecke, Gijs Van",1,0
"Hoole, Daan",1,0
"Howson, Damien",1,0
"Huising, Menno",1,0
"Hvideberg, Jonas",1,0
"Irvine, Declan",1,0
"Jacobs, Johan",1,0
"Janssens, Jimmy",1,0
"Johannink, Jelle",1,0
"Juaristi, Txomin",1,0
"Kepplinger, Rainer",1,0
"Kopecký, Tomáš",1,0
"Krieger, Alexander",1,0
"Kruijswijk, Steven",1,0
"Kuypers, Gerben",1,0
"Laengen, Vegard Stake",1,0
"Le Gac, Olivier",1,0
"Lerberghe, Bert Van",1,0
"Liepiņš, Emīls",1,0
"Maas, Jan",1,0
"Magli, Filippo",1,0
"Marcellusi, Martin",1,0
"Martín, Gotzon",1,0
"Martín, Alex",1,0
"Martinez, Juan Guillermo",1,0
"Mayrhofer, Marius",1,0
"McDonald, Bailey",1,0
"Meens, Johan",1,0
"Meris, Sergio",1,0
"Meulen, Max van der",1,0
"Mezgec, Luka",1,0
"Miholjević, Fran",1,0
"Mosca, Jacopo",1,0
"Mouris, Wessel",1,0
"Nencini, Tommaso",1,0
"Oldani, Stefano",1,0
"Oliveira, Nelson",1,0
"Oomen, Sam",1,0
"Paasschens, Mathijs",1,0
"Paleni, Enzo",1,0
"Paquot, Tom",1,0
"Parra, José Félix",1,0
"Pedrero, Antonio",1,0
"Perez, Anthony",1,0
"Peters, Nans",1,0
"Petilli, Simone",1,0
"Pidcock, Joey",1,0
"Pietrobon, Andrea",1,0
"Planckaert, Edward",1,0
"Pollefliet, Gianluca",1,0
"Pooter, Dries De",1,0
"Prades, Eduard",1,0
"Quinn, Sean",1,0
"Raisberg, Nadav",1,0
"Retailleau, Valentin",1,0
"Reynders, Jens",1,0
"Riesebeek, Oscar",1,0
"Roosen, Timo",1,0
"Rouland, Louis",1,0
"Rutsch, Jonas",1,0
"Sbaragli, Kristian",1,0
"Sepúlveda, Eduardo",1,0
"Serry, Pieter",1,0
"Sevilla, Diego Pablo",1,0
"Shmidt, Artem",1,0
"Skaarseth, Anders",1,0
"Sobrero, Matteo",1,0
"Sorarrain, Gorka",1,0
"Steimle, Jannik",1,0
"Stewart, Campbell",1,0
"Stokbro, Andreas",1,0
"Sweeny, Harry",1,0
"Swift, Connor",1,0
"Tarozzi, Manuele",1,0
"Tesson, Jason",1,0
"Theuns, Edward",1,0
"Thierry, Pierre",1,0
"Tier, Floris De",1,0
"Tjøtta, Martin",1,0
"Torres, Albert",1,0
"Tricht, Stan Van",1,0
"Vandenstorme, Dylan",1,0
"Vanhoof, Ward",1,0
"Vercher, Mattéo",1,0
"Vergaerde, Otto",1,0
"Vermote, Julien",1,0
"Vinokurov, Nicolas",1,0
"Vliegen, Loïc",1,0
"Weiss, Fabian",1,0
"Zijlaard, Maikel",1,0
"Zukowsky, Nick",1,0
