RiderName_Zweeler,RiderName_PCS,RiderTeam,RiderPrice
"Soler, Marc",Soler Marc,UAE Emirates XRG,7.7
"Sorarrain, Gorka",Sorarrain Gorka,Caja Rural - Seguros RGA,1.0
"Sosa, Ivan",Sosa Iván Ramiro,Equipo Kern Pharma,2.4
"Soto, Antonio",Soto Antonio Jesús,Equipo Kern Pharma,2.8
"Soupe, Geoffrey",Soupe Geoffrey,TotalEnergies,1.3
"Stannard, Robert",Stannard Robert,Bahrain Victorious,3.4
"Staune-Mittet, Johannes",Staune-Mittet Johannes,Decathlon AG2R La Mondiale,2.3
"Steimle, Jannik",Steimle Jannik,Q36.5 Pro Cycling Team,1.1
"Steinhauser, Georg",Steinhauser Georg,EF Education - EasyPost,5.0
"Stenico, Mattia",Stenico Mattia,VF Group - Bardiani CSF - Faizanè,1.0
"Stewart, Campbell",Stewart Campbell,Team Jayco AlUla,1.6
"Stewart, Jake",Stewart Jake,Israel - Premier Tech,2.6
"Stewart, Mark",Stewart Mark,Toscana Factory Team Vini Fantini,1.0
"Stites, Tyler",Stites Tyler,Caja Rural - Seguros RGA,1.7
"Stockman, Abram",Stockman Abram,Unibet Tietema Rockets,1.0
"Stockwell, Oliver",Stockwell Oliver,Bahrain Victorious,1.0
"Stokbro, Andreas",Stokbro Andreas,Unibet Tietema Rockets,1.0
"Storer, Michael",Storer Michael,Tudor Pro Cycling Team,9.1
"Stork, Florian",Stork Florian,Tudor Pro Cycling Team,1.4
"Strong, Corbin",Strong Corbin,Israel - Premier Tech,8.5
"Stuyven, Jasper",Stuyven Jasper,Lidl - Trek,6.6
"Su, Haoyu",Su Haoyu,XDS Astana Team,1.0
"Suter, Joel",Suter Joel,Tudor Pro Cycling Team,1.2
"Sütterlin, Jasha",Sütterlin Jasha,Team Jayco AlUla,1.0
"Sutton, Louis",Sutton Louis,Euskaltel - Euskadi,1.2
"Svestad-Bårdseng, Embret",Svestad-Bårdseng Embret,Arkéa - BnB Hotels,1.4
"Svrček, Martin",Svrček Martin,Soudal - Quick-Step,1.1
"Sweeny, Harry",Sweeny Harry,EF Education - EasyPost,1.5
"Swift, Ben",Swift Ben,INEOS Grenadiers,1.1
"Swift, Connor",Swift Connor,INEOS Grenadiers,1.1
"Taminiaux, Lionel",Taminiaux Lionel,Lotto,2.2
"Tarling, Josh",Tarling Joshua,INEOS Grenadiers,8.1
"Tarozzi, Manuele",Tarozzi Manuele,VF Group - Bardiani CSF - Faizanè,1.3
"Tejada, Harold",Tejada Harold,XDS Astana Team,4.2
"Tercero, Fernando",Tercero Fernando,Team Polti VisitMalta,1.0
"Tesfatsion, Natnael",Tesfatsion Natnael,Movistar Team,3.1
"Tesson, Jason",Tesson Jason,TotalEnergies,2.0
"Teunissen, Mike",Teunissen Mike,XDS Astana Team,4.2
"Teuns, Dylan",Teuns Dylan,Cofidis,5.4
"Teutenberg, Tim Torn",Teutenberg Tim Torn,Lidl - Trek,2.1
"Thalmann, Roland",Thalmann Roland,Tudor Pro Cycling Team,1.0
"Theuns, Edward",Theuns Edward,Lidl - Trek,2.8
"Thierry, Pierre",Thierry Pierre,Arkéa - BnB Hotels,1.0
"Thijssen, Gerben",Thijssen Gerben,Intermarché - Wanty,5.4
"Thomas, Benjamin",Thomas Benjamin,Cofidis,1.8
"Thomas, Geraint",Thomas Geraint,INEOS Grenadiers,7.5
"Thompson, Reuben",Thompson Reuben,Lotto,1.4
"Tiberi, Antonio",Tiberi Antonio,Bahrain Victorious,22.6
"Tier, Floris De",De Tier Floris,Wagner Bazin WB,1.0
"Tiller, Rasmus",Tiller Rasmus,Uno-X Mobility,4.2
"Tissières, Arnaud",Tissières Arnaud,Toscana Factory Team Vini Fantini,1.0
"Tizza, Marco",Tizza Marco,Wagner Bazin WB,1.0
"Tjøtta, Martin",Tjøtta Martin,Arkéa - BnB Hotels,1.0
"Todome, Yuhi",Todome Yuhi,EF Education - EasyPost,1.0
"Tolio, Alex",Tolio Alex,VF Group - Bardiani CSF - Faizanè,1.0
"Toneatti, Davide",Toneatti Davide,XDS Astana Team,1.2
"Tonelli, Alessandro",Tonelli Alessandro,Team Polti VisitMalta,1.7
"Torres, Albert",Torres Albert,Movistar Team,1.0
"Torres, Pablo",Torres Pablo,UAE Emirates XRG,4.9
"Toumire, Hugo",Toumire Hugo,Cofidis,1.0
"Toupalík, Adam",Ťoupalík Adam,Unibet Tietema Rockets,1.1
"Touzé, Damien",Touzé Damien,Cofidis,2.1
"Townsend, Rory",Townsend Rory,Q36.5 Pro Cycling Team,1.1
"Træen, Torstein",Træen Torstein,Bahrain Victorious,3.3
"Tratnik, Jan",Tratnik Jan,Red Bull - BORA - hansgrohe,4.2
"Trentin, Matteo",Trentin Matteo,Tudor Pro Cycling Team,5.9
"Tricht, Stan Van",Van Tricht Stan,Alpecin - Deceuninck,2.1
"Tronchon, Bastien",Tronchon Bastien,Decathlon AG2R La Mondiale,1.1
"Tsarenko, Kyrylo",Tsarenko Kyrylo,Toscana Factory Team Vini Fantini,1.0
"Tu, Sergio",Tu Sergio,Bahrain Victorious,1.0
"Tulett, Ben",Tulett Ben,Team Visma - Lease a Bike,3.3
"Turconi, Filippo",Turconi Filippo,VF Group - Bardiani CSF - Faizanè,1.0
"Turgis, Anthony",Turgis Anthony,TotalEnergies,3.5
"Turner, Ben",Turner Ben,INEOS Grenadiers,3.7
"Tuuk, Danny van der",Van Der Tuuk Danny,Euskaltel - Euskadi,1.0
"Uden, Casper van",Van Uden Casper,Team Picnic PostNL,4.8
"Uhlig, Henri",Uhlig Henri,Alpecin - Deceuninck,2.1
"Uijtdebroeks, Cian",Uijtdebroeks Cian,Team Visma - Lease a Bike,10.5
"Ulissi, Diego",Ulissi Diego,XDS Astana Team,4.5
"Uriarte, Diego",Uriarte Diego,Equipo Kern Pharma,1.0
"Vacek, Mathias",Vacek Mathias,Lidl - Trek,10.2
"Vader, Milan",Vader Milan,Q36.5 Pro Cycling Team,3.7
"Vadic, Baptiste",Vadic Baptiste,TotalEnergies,1.0
"Valgren, Michael",Valgren Michael,EF Education - EasyPost,3.0
"Valter, Attila",Valter Attila,Team Visma - Lease a Bike,5.8
"Vandenabeele, Henri",Vandenabeele Henri,Lotto,1.1
"Vandenbranden, Noah",Vandenbranden Noah,Team Flanders - Baloise,1.0
"Vandenstorme, Dylan",Vandenstorme Dylan,Team Flanders - Baloise,1.0
"Vandevelde, Yentl",Vandevelde Yentl,Team Flanders - Baloise,1.0
"Vangheluwe, Warre",Vangheluwe Warre,Soudal - Quick-Step,2.9
"Vanhoof, Ward",Vanhoof Ward,Team Flanders - Baloise,1.0
"Vanhoucke, Harm",Vanhoucke Harm,Q36.5 Pro Cycling Team,1.9
"Vansevenant, Mauri",Vansevenant Mauri,Soudal - Quick-Step,8.4
"Vauquelin, Kévin",Vauquelin Kévin,Arkéa - BnB Hotels,10.1
"Veistroffer, Baptiste",Veistroffer Baptiste,Lotto,1.0
"Velasco, Simone",Velasco Simone,XDS Astana Team,2.8
"Vendrame, Andrea",Vendrame Andrea,Decathlon AG2R La Mondiale,5.0
"Venturini, Clément",Venturini Clément,Arkéa - BnB Hotels,1.8
"Vercher, Mattéo",Vercher Mattéo,TotalEnergies,1.9
"Vercouillie, Victor",Vercouillie Victor,Team Flanders - Baloise,1.0
"Vergaerde, Otto",Vergaerde Otto,Lidl - Trek,1.0
"Vergallito, Luca",Vergallito Luca,Alpecin - Deceuninck,1.6
"Vermaerke, Kevin",Vermaerke Kevin,Team Picnic PostNL,7.4
"Vermeersch, Florian",Vermeersch Florian,UAE Emirates XRG,3.9
"Vermeersch, Gianni",Vermeersch Gianni,Alpecin - Deceuninck,3.0
"Vermoote, Jelle",Vermoote Jelle,Wagner Bazin WB,1.0
"Vermote, Julien",Vermote Julien,Team Visma - Lease a Bike,1.0
"Vernon, Ethan",Vernon Ethan,Israel - Premier Tech,6.5
"Verona, Carlos",Verona Carlos,Lidl - Trek,2.6
"Verrando, Luca",Verrando Luca,Toscana Factory Team Vini Fantini,1.0
"Verre, Alessandro",Verre Alessandro,Arkéa - BnB Hotels,1.2
"Verschuren, Killian",Verschuren Killian,Unibet Tietema Rockets,1.0
"Verstrynge, Emiel",Verstrynge Emiel,Alpecin - Deceuninck,1.0
"Vervaeke, Louis",Vervaeke Louis,Soudal - Quick-Step,1.2
"Villa, Giacomo",Villa Giacomo,Wagner Bazin WB,1.0
"Vine, Jay",Vine Jay,UAE Emirates XRG,8.2
"Vingegaard, Jonas",Vingegaard Jonas,Team Visma - Lease a Bike,42.2
"Vinokurov, Nicolas",Vinokurov Nicolas,XDS Astana Team,1.0
"Vlasov, Aleksandr",Vlasov Aleksandr,Red Bull - BORA - hansgrohe,21.3
"Vliegen, Loïc",Vliegen Loïc,Wagner Bazin WB,1.0
"Voisard, Yannis",Voisard Yannis,Tudor Pro Cycling Team,2.3
"Vries, Hartthijs de",De Vries Hartthijs,Unibet Tietema Rockets,1.1
"Vylder, Lindsay De",De Vylder Lindsay,Team Flanders - Baloise,1.0
"Wærenskjold, Søren",Wærenskjold Søren,Uno-X Mobility,6.5
"Walker, Max",Walker Max,EF Education - EasyPost,1.0
"Wallin, Rasmus Bøgh",Wallin Rasmus Bøgh,Uno-X Mobility,1.0
"Walls, Matthew",Walls Matthew,Groupama - FDJ,1.2
"Walscheid, Max",Walscheid Max,Team Jayco AlUla,3.1
"Wandahl, Frederik",Wandahl Frederik,Red Bull - BORA - hansgrohe,1.4
"Warbasse, Larry",Warbasse Larry,Tudor Pro Cycling Team,1.0
"Warlop, Jordi",Warlop Jordi,Soudal - Quick-Step,1.1
"Watelle, Celestin",Wattelle Célestin,Team Novo Nordisk,1.0
"Watson, Sam",Watson Samuel,INEOS Grenadiers,1.5
"Weemaes, Sasha",Weemaes Sasha,Wagner Bazin WB,1.1
"Weiss, Fabian",Weiss Fabian,Tudor Pro Cycling Team,1.2
"Wellens, Tim",Wellens Tim,UAE Emirates XRG,11.1
"Welsford, Sam",Welsford Sam,Red Bull - BORA - hansgrohe,6.4
"Welten, Bram",Welten Bram,Team Picnic PostNL,2.0
"Wenzel, Mats",Wenzel Mats,Equipo Kern Pharma,1.0
"Wilder, Ilan Van",Van Wilder Ilan,Soudal - Quick-Step,10.8
"Wilksch, Hannes",Wilksch Hannes,Tudor Pro Cycling Team,1.0
"Williams, Stevie",Williams Stephen,Israel - Premier Tech,10.9
"Wirtgen, Luc",Wirtgen Luc,Tudor Pro Cycling Team,1.0
"Withen Philipsen, Albert",Withen Philipsen Albert,Lidl - Trek,1.1
"Woods, Michael",Woods Michael,Israel - Premier Tech,6.9
"Wright, Fred",Wright Fred,Bahrain Victorious,6.5
"Wynkele, Lorenz Van de",Van De Wynkele Lorenz,Lotto,1.1
"Yates, Adam",Yates Adam,UAE Emirates XRG,24.7
"Yates, Simon",Yates Simon,Team Visma - Lease a Bike,14.9
"Zambanini, Edoardo",Zambanini Edoardo,Bahrain Victorious,7.3
"Zana, Filippo",Zana Filippo,Team Jayco AlUla,5.7
"Zanoncello, Enrico",Zanoncello Enrico,VF Group - Bardiani CSF - Faizanè,1.4
"Zijlaard, Maikel",Zijlaard Maikel,Tudor Pro Cycling Team,1.9
"Zimmermann, Georg",Zimmermann Georg,Intermarché - Wanty,4.0
"Zingle, Axel",Zingle Axel,Team Visma - Lease a Bike,6.1
"Zoccarato, Samuele",Zoccarato Samuele,Team Polti VisitMalta,1.0
"Zubeldia, Unai",Zubeldia Unai,Euskaltel - Euskadi,1.0
"Zukowsky, Nick",Zukowsky Nickolas,Q36.5 Pro Cycling Team,1.0
"Zwiehoff, Ben",Zwiehoff Ben,Red Bull - BORA - hansgrohe,2.2
