Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Christen, Fabio",Q36.5 Pro Cycling Team,3.6,0,0,0.0,,
"Christen, Jan",UAE Emirates XRG,7.2,0,0,0.0,,Kenk
"Christophersen, Cedrik",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Chumil, Sergio",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Ciccone, Giulio",Lidl - Trek,13.8,0,0,0.0,,
"Cimolai, Davide",Movistar Team,2.0,0,0,0.0,Ja,
"Clarke, Simon",Israel - Premier Tech,2.4,7,0,0.0,Ja,
"Clynhens, Toon",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Cobo, Iván",Equipo Kern Pharma,1.0,1,0,0.0,Ja,
"Colladon, Jacopo",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Colleoni, Kevin",Intermarché - Wanty,1.1,1,0,0.0,Ja,
"Colman, Alex",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Colnaghi, Luca",VF Group - Bardiani CSF - Faizanè,1.1,0,0,0.0,Ja,
"Combaud, Romain",Team Picnic PostNL,1.0,0,0,0.0,Ja,
"Conci, Nicola",XDS Astana Team,1.6,7,0,0.0,Ja,
"Conforti, Lorenzo",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Consonni, Simone",Lidl - Trek,3.4,1,0,0.0,,
"Conti, Valerio",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Coquard, Bryan",Cofidis,7.5,7,66,8.8,,
"Cort, Magnus",Uno-X Mobility,5.2,0,0,0.0,,
"Cosnefroy, Benoît",Decathlon AG2R La Mondiale,5.3,0,0,0.0,,
"Costa, Rui",EF Education - EasyPost,4.1,0,0,0.0,,
"Costiou, Ewen",Arkéa - BnB Hotels,2.5,0,0,0.0,Ja,
"Coté, Pier-André",Israel - Premier Tech,1.1,7,0,0.0,Ja,
"Covi, Alessandro",UAE Emirates XRG,3.4,0,0,0.0,,
"Covili, Luca",VF Group - Bardiani CSF - Faizanè,1.2,1,0,0.0,Ja,
"Crabbe, Tom",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Craps, Lars",Lotto,1.0,0,0,0.0,Ja,
"Cras, Steff",TotalEnergies,4.0,0,0,0.0,,
"Crescioli, Ludovico",Team Polti VisitMalta,1.1,0,0,0.0,Ja,
"Cruz, Edward",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Currie, Logan",Lotto,1.0,0,0,0.0,Ja,
"Dainese, Alberto",Tudor Pro Cycling Team,4.6,0,0,0.0,,
"Dalby, Simon",Uno-X Mobility,1.1,0,0,0.0,Ja,
"Darder, Sergi",Caja Rural - Seguros RGA,1.0,5,0,0.0,Ja,
"Dauge, Lucas",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Dauphin, Florian",TotalEnergies,1.1,5,8,7.3,Ja,
"Davy, Clément",Groupama - FDJ,1.0,7,0,0.0,Ja,
"De Cassan, Davide",Team Polti VisitMalta,1.1,0,0,0.0,Ja,
"De La Calle, Hugo",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"De La Cruz, David",Q36.5 Pro Cycling Team,1.5,0,0,0.0,Ja,
"De La Parte, Víctor",Euskaltel - Euskadi,1.1,0,0,0.0,Ja,
"De Marchi, Alessandro",Team Jayco AlUla,1.4,0,0,0.0,Ja,
"De Pretto, Davide",Team Jayco AlUla,3.5,0,0,0.0,,
"Debeaumarché, Nicolas",Cofidis,1.0,0,0,0.0,Ja,
"Debruyne, Ramses",Alpecin - Deceuninck,1.2,6,0,0.0,Ja,
"Declercq, Tim",Lidl - Trek,1.0,0,0,0.0,Ja,
"Degenkolb, John",Team Picnic PostNL,2.8,5,0,0.0,,
"Dehairs, Simon",Alpecin - Deceuninck,1.4,6,10,7.1,Ja,
"Dejaegher, Jasper",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Dekker, David",Euskaltel - Euskadi,1.9,0,0,0.0,Ja,
"Del Grosso, Tibor",Alpecin - Deceuninck,1.6,0,0,0.0,Ja,Jarma
"Del Toro, Isaac",UAE Emirates XRG,18.1,0,0,0.0,,
"Delaplace, Anthony",Arkéa - BnB Hotels,1.0,0,0,0.0,Ja,
"Delbove, Joris",TotalEnergies,1.1,5,2,1.8,Ja,
